cocktail_id,ingredient_id,measure
188,162,Juice of 1/2 
188,224,1 tsp 
188,223,1 tblsp
188,106,1 
188,54,to taste
189,238,1/6 glass 
189,78,1/6 glass strong black 
189,278,1/2 glass cold 
189,279,to taste
190,185,2 cups 
190,68,to taste
190,187,to taste
191,122,1 1/2 oz 
191,135,1/2 oz 
191,290,1/2 oz 
192,20,1 1/2 oz 
192,137,1 tsp 
192,171,Juice of 1/2 
193,146,4-5 
193,265,2 oz 
193,273,1 tsp 
193,73,10-12 oz 
194,93,1 part 
194,59,5 parts 
195,78,1 part 
195,130,2 parts 
196,277,1 oz 
196,271,1 oz 
196,172,1 oz 
197,93,1 part 
197,59,5 parts 
198,158,1 part 
198,33,2 parts 
198,146,cubes
199,5,4 cl 
199,264,Turkish apple 
199,258," (if needed)
"
200,156,1 oz 
200,46,1/2 oz 
200,78,to taste
201,157,1/2
201,259,1 tsp
201,277,1 1/2 oz
201,157,Garnish with
202,88,4 cl 
202,18,2 cl 
202,243,7 cl 
202,21,8 cl 
202,146,cubes
203,277,1 shot 
203,12,1 shot 
203,248,1 shot 
203,271,1 shot 
203,87,to taste
204,1,2 oz light 
204,159,1/2 tsp Tropical 
205,45,2 oz 
205,32,1/2 oz 
206,45,3 oz 
206,32,1/2 oz 
206,164,1 twist of 
207,159,1/2 oz Grape 
207,277,1/2 oz 
208,157,3 
208,201,1/2 
209,123,1 inch 
209,162,1/4 
209,278,1 cup hot 
210,171,Juice of 1 
210,258,1 tblsp 
210,249," (seltzer water)
"
210,173,to taste
211,31,3/4 bottle 
211,12,1 shot 
211,195,1 oz 
212,277,1 1/2 shot 
212,82,1 1/2 shot 
212,162,Juice of 1 wedge 
213,121,1/2 oz 
213,4,1/2 oz 
213,162," wedge
"
213,258,Bacardi 
213,1,to taste
214,277,5 cl 
214,171,1/2 
214,14,4 dashes 
214,270,1 dl Schweppes 
214,146,4 
215,291,1 cup 
215,278,2 cups cold 
215,240,1 tsp 
215,25,1 pinch 
216,291,2 cups 
216,146,4-6 
216,258,to taste
216,171,to taste
216,240,to taste
217,123,2 pieces 
217,278,1 gal 
217,162,1 lb 
217,258,1 cup 
217,56,ground 
218,244,2 oz 
218,102,1/2 oz 
218,103,1/2 oz 
218,164,1 twist of 
219,122,1 1/2 oz 
219,180,1/2 oz 
219,193,2 dashes 
220,177,2 
220,291,2 cups 
220,258,1/2 cup 
220,278,1 cup iced 
221,291,1 cup 
221,278,2 cups cold 
221,258,4 tblsp 
221,240,pinch 
221,163,2 tblsp 
222,86,1 bottle 
222,27,1 oz 
223,99,1 1/2 oz 
223,268,1/2 oz 
224,122,2 oz 
224,167,2 tsp 
224,224,1 tsp 
224,162,Juice of 1/2
224,106,1 
224,54,to taste
225,277,1/2 oz 
225,168,1/2 oz 
225,122,1/2 oz 
225,266,1/2 oz 
225,162,Juice of 1/2 
225,73,1 splash 
226,54,to taste
226,122,to taste
226,103,to taste
226,224,to taste
226,197,to taste
226,164,to taste
227,262,3/4 oz 
227,122,1 1/2 oz 
228,75,30 ml
228,134,75 ml
228,249,Top
229,277,1/2 oz 
229,266,1/2 oz 
229,168,1/2 oz 
229,122,1/2 oz 
229,73,1 dash 
229,164,Twist of 
230,108,2 tsp
230,277,1 shot
230,249,1/3 cup
230,116,Top
231,291,1/2 cup plain 
231,278,1 1/4 cup cold 
231,97,1/2 tsp ground roasted 
231,240,1/4 tsp 
231,186,1/4 tsp dried 
232,109,to taste
232,141,Unsweetened 
232,74,to taste
233,168,2-3 oz 
233,171,Juice of 1 
233,258,2 tsp 
233,186,2-4 
233,249,to taste
234,59,Chilled 
234,195,2 oz 
235,168,1 oz 
235,199,1/2 oz 
235,271,1/2 oz 
235,261,1 1/2 oz 
235,61,1 
236,122,1 2/3 oz 
236,103,1/3 oz 
236,190,1 
237,31,4 oz
237,269,4 oz
237,172,1 tblsp
237,145,Dash
237,288,Dash
237,252,Dash
238,262,3/4 oz 
238,45,2 1/2 oz Blended 
238,14,dash 
238,146,2 or 3 
238,179,1 
238,196,1 twist of 
239,266,1 1/2 oz 
239,271,1/2 oz 
239,172,1 oz 
239,240,to taste
240,231,3 cl
240,199,1 cl
240,278,Full Glass
241,186,4 fresh 
241,45,2 1/2 oz 
241,224,1 tsp 
241,278,2 tsp 
242,251,750 ml 
242,195,1 L 
242,212,750 ml 
243,122,1 1/2 oz
243,262,1 1/2 oz
243,180,1 tsp
243,14,2 dashes
244,3,2/5 
244,266,2/5 
244,137,1/5 
245,1,5 oz Bacardi 
245,215,frozen 
245,98,frozen 
246,277,2 oz 
246,172,2 oz 
246,124,8 oz 
247,278,3 cups 
247,258,1 cup 
247,71,12 
247,70,2 
247,164,1 
247,230,750 ml 
247,46,1/4 cup 
248,278,2 cups 
248,264,3-4 tsp 
248,123,1 chunk dried 
248,55,3-4 crushed 
248,71,3 
248,70,1 piece 
248,35,1-2 whole 
248,258," to taste
"
248,185,to taste
249,122,5 cl
249,172,2 cl
249,125,10 cl
249,96,Chopped
249,162,Chopped
250,78,6 oz 
250,58,2 oz 
250,74,2 tblsp 
250,279,to taste
251,171,3
251,177,1 Fresh
251,186,Sprig
251,284,200 ml
251,146,cubes
251,249,Top
251,177,Garnish with
252,186,1/2 handful 
252,163,3 cl 
252,99,1/8 L Jamaican 
252,72,1/8 L 
252,14,8 drops 
253,122,2 oz 
253,32,1 tsp 
253,195,1/2 oz 
253,137,1 tsp 
254,28,1 oz 
254,283,3/4 oz 
254,89,3/4 oz double 
255,168,1 1/2 oz 
255,217,1 oz 
255,180,1/2 tsp 
255,137,1/2 tsp 
255,179,1 
256,168,1 1/2 oz 
256,134,3 oz 
256,34,1 dash 
257,122,1 oz 
257,51,1 oz 
257,262,1 oz 
258,42,2 oz 
258,162,Juice of 1/2 
258,258,1 tsp 
258,230," (Claret)
"
258,162,to taste
258,61,to taste
259,28,1 part 
259,114,1 part 
259,185,1 part 
260,238,1/2 oz 
260,277,1/2 oz 
260,122,1/2 oz 
260,44,1/2 oz 
260,250,2 oz 
260,165,1 splash 
261,4,2 oz 
261,131,1 oz 
261,163,2 oz sweetened 
261,72,1 oz 
262,74,2 tsp 
262,258,1 tsp 
262,273,1/2 tsp 
262,185,12 oz 
263,92,1/2 oz white 
263,12,1/2 oz 
263,271,1/2 oz 
263,277,1/2 oz 
263,167,1 oz 
264,239,2 oz
264,51,1 oz
264,103,1 oz
265,163,5 cl 
265,195,15 cl 
265,259,2-3 cl 
265,249,to taste
266,195,4 oz 
266,238,1 oz 
266,277,1 oz 
266,89,1 package 
266,146,Over 
267,277,1 oz 
267,271,1 oz 
267,195,1 oz 
268,62,1/2 oz 
268,122,1 1/2 oz 
268,195,4 oz 
268,124,to taste
269,45,4.5 cL
269,14,2 dashes
269,258,1 cube
269,278,dash
270,277,1 oz 
270,156,1 oz 
270,28,1 oz 
270,274,2 scoops 
270,198,1 
271,156,2 parts
271,28,2 parts
271,49,4 parts
271,152,1 part
271,129,1/2 part
272,253,1.5 oz 
272,137,0.5 oz 
272,195,4 oz 
272,250,1 splash 
273,122,1 shot
273,195,Top
273,163,Top
273,235,25 ml
273,249,Top
273,234,Garnish with
273,196,Garnish with
274,185,2 cups 
274,66,4 oz chopped bittersweet or semi-sweet 
274,196,3 2-inch strips 
274,109,1/2 tsp instant 
274,189,1/8 tsp ground 
275,281,12 oz 
275,31,12 oz 
275,166,12 oz frozen 
275,146,1 cup crushed 
276,133,3 oz
276,266,1 1/2 oz
277,122,7 parts
277,23,4 parts
277,195,3 parts 
278,34,3 dashes 
278,122,2 oz 
279,122,1 1/2 oz
279,194,3/4 oz
279,172,3/4 oz
279,14,1 dash
279,193,1 dash
280,122,1 1/2 oz 
280,137,1 tsp 
280,167,1 tsp 
280,106,1 
281,122,1 shot
281,75,1 shot
281,108,25 ml
281,172,30 ml
281,37,Garnish with
282,41,2 oz
282,163,3/4 oz
282,142,2 tsp
282,126,2 tsp
282,150,1/4 oz
283,221,2 oz 
283,163,1 oz 
283,258,1-2 tblsp 
283,146,1
283,106,to taste
284,46,3 parts
284,223,9 parts
284,107,2 parts
285,168,3 oz 
285,76,3 tblsp 
285,216,3 tblsp 
286,110,750 ml 
286,277,1750 ml 
286,208,1750 ml 
286,195,1 gal 
286,87,1 gal 
287,238,40 ml
287,204,20 ml
287,172,30 ml
287,203,15 ml
287,205,Dash
287,186,Garnish with
288,277,2 oz 
288,65,2 oz 
288,87,4 oz 
288,195,4 oz 
289,122,1 1/2 oz 
289,92,3/4 oz white 
290,223,1 1/2 oz 
290,167,2 tsp 
290,224,1 tsp 
290,105,1 whole 
290,189,to taste
291,99,1 part 
291,199,1/2 part 
291,195,2 parts 
291,217,1 part 
292,266,4 oz
292,134,4 oz
292,117,1 oz
292,217,8 oz
292,171,Garnish with
292,211,Rimmed
293,277,3 cl
293,204,3 cl
293,202,1 cl
293,171,1 cl
293,225,1 shot
294,99,4.5 cL
294,195,3 cl
294,217,3.5 cl
294,137,1 cl
294,259,1 cl
294,14,4 drops
295,137,1 tblsp 
295,136,1/2 oz 
296,223,2 1/2 oz 
296,46,1/2 tsp 
297,195,1 part 
297,21,1 part 
297,217,1 part 
297,146,to taste
298,254,1 L 
298,219,2 cups 
298,277,2 cups 
299,277,1 shot
299,259,1/2 shot
299,202,Full Glass
300,123,1/4 inch 
300,216,1/2 
301,99,1 1/2 oz 
301,156,1/2 oz 
301,167,1 oz 
301,189,1/8 tsp grated 
302,79,1 oz 
302,174,1 1/2 oz 
302,246,1/2 oz cream 
303,156,1 part 
303,184,1 part 
303,28,1 part 
304,36,25 ml 
304,195,Add 250 ml 
305,230,2 oz 
305,137,1 oz 
305,165,to taste
306,103,1/2 oz 
306,122,1 1/2 oz 
306,32,1 1/2 tsp 
307,168,3/4 oz 
307,46,3/4 oz 
307,162,Juice of 1/4 
307,227,2 tsp 
308,168,1 1/2 
308,246,1/3 oz cream 
308,171,Juice of 1/2 
309,103,1/2 oz 
309,122,1 oz 
309,23,1/2 oz 
309,163,1/2 tsp 
309,137,1 tsp 
309,224,to taste
310,31,12 oz 
310,2,12 oz 
311,168,2 oz 
311,163,1 oz 
311,258,1/2 tsp superfine 
311,192,1 
311,179,1 
312,238,mikey bottle 
312,124,large bottle 
312,120,355 ml frozen 
312,195,355 ml frozen 
312,146,crushed 
313,238,2 oz light or dark 
313,224,2 tsp 
313,164,1 twist of 
313,278,2 tsp 
314,122,1 oz 
314,261,2 oz 
314,105,1 whole 
314,73,to taste
315,238,2 oz light or dark 
315,165,4 oz 
315,162,1 
316,176,1 1/2 oz 
316,38,1 oz 
316,195,3-4 oz 
316,217,3-4 oz 
316,87,3-4 oz 
317,244,1 1/2 oz 
317,102,1/2 oz 
317,164,1 twist of 
318,95,1 shot 
318,12,1 shot 
318,87,1 shot 
319,114,1 part 
319,95,1 part 
320,95,1 1/2 oz 
320,208,1 oz 
320,58,1/2 oz 
320,87,1 oz 
321,258,1 tsp superfine 
321,72,3 oz 
321,162,1 
321,99,2 oz 
321,179,1 
321,192,1 
322,122,2 oz 
322,87,5 oz 
322,137,2 splashes 
323,259,2 tsp 
323,163,to taste
323,124,to taste
324,122,50 ml
324,44,15 ml
324,270,100 ml
324,234,Garnish with
325,122,4.5 cL
325,163,3 cl
325,259,3 cl
325,89,6 cl
325,106,1
325,273,2 drop
325,249,2 cl
326,122,2 oz 
326,162,Juice of 1/2 
326,224,1 tsp 
326,105,1 whole 
326,54,to taste
327,168,2 oz 
327,185,1 cup 
327,224,1 tsp 
327,189,to taste
328,45,2 oz
328,227,1/2 oz
328,186,8
329,168,1 1/2 oz 
329,195,5 oz 
330,228,2 oz 
330,165,4 oz 
330,146,to taste
331,168,1 1/2 oz 
331,1,1 tsp 
331,224,1/2 tsp 
331,34,1 dash 
331,278,1 tsp 
331,173,Twist of 
332,277,2.5 cl
332,93,1.5 cl
332,259,1 cl
332,163,2.5 cl
333,238,1 oz 
333,277,1 oz 
333,266,1 oz 
333,122,1 oz 
333,271,1 oz 
333,58,1 oz 
333,184,1 oz 
333,176,1 oz 
334,230,1/3 part 
334,208,1 shot 
334,212,1/3 part 
334,195,1/3 part 
335,225,6 cl
335,51,4 cl
335,249,splash
336,46,1 oz 
336,12,1 oz 
336,167,1 oz 
337,230,1 bottle 
